email,encrypted_password,username,first_name,last_name,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,session_token,created_at,updated_at,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,isModerator
h@j.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,j_st,Lebron,James,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@k.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,k_st,Dwight,Howard,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a1.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a1,Harsha1,Pitawela1,,,,0.666666667,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a2.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a2,Michael1,Jordan1,,,,0.58974359,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a3.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a3,Kobe1,Bryant1,,,,0.512820513,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a4.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a4,Dwayne1,Wade1,,,,0.435897436,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a5.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a5,Manu1,Ginobili1,,,,0.358974359,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a6.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a6,Stephen1,Curry1,,,,0.282051282,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a7.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a7,Kevin1,Durant1,,,,0.205128205,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a8.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a8,Klay1,Thompso1n,,,,0.128205128,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a9.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a9,Tony1,Parker1,,,,0.051282051,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a10.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a10,Tim1,Duncan1,,,,-0.025641026,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a11.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a11,Lebron1,James1,,,,-0.102564103,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a12.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a12,Dwight1,Howard1,,,,-0.179487179,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a13.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a13,Harsha2,Pitawela2,,,,-0.256410256,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a14.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a14,Michael2,Jordan2,,,,-0.333333333,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a15.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a15,Kobe2,Bryant2,,,,-0.41025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a16.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a16,Dwayne2,Wade2,,,,-0.487179487,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a17.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a17,Manu2,Ginobili2,,,,-0.564102564,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a18.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a18,Stephen2,Curry2,,,,-0.641025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a19.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a19,Kevin2,Durant2,,,,-0.717948718,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a20.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a20,Klay2,Thompson2,,,,-0.794871795,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a21.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a21,Tony2,Parker2,,,,-0.871794872,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a22.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a22,Tim2,Duncan2,,,,-0.948717949,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a23.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a23,Lebron2,James2,,,,-1.025641026,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a24.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a24,Dwight2,Howard2,,,,-1.102564103,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a25.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a25,Harsha3,Pitawela3,,,,-1.179487179,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a26.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a26,Michael3,Jordan3,,,,-1.256410256,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a27.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a27,Kobe3,Bryant3,,,,-1.333333333,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a28.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a28,Dwayne3,Wade3,,,,-1.41025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a29.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a29,Manu3,Ginobili3,,,,-1.487179487,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a30.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a30,Stephen3,Curry3,,,,-1.564102564,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a31.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a31,Kevin3,Durant3,,,,-1.641025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a32.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a32,Klay3,Thompson3,,,,-1.717948718,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a33.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a33,Tony3,Parker3,,,,-1.794871795,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a34.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a34,Tim3,Duncan3,,,,-1.871794872,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a35.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a35,Lebron3,James3,,,,-1.948717949,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a36.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a36,Dwight3,Howard3,,,,-2.025641026,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a37.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a37,Harsha4,Pitawela,,,,-2.102564103,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a38.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a38,Michael4,Jordan,,,,-2.179487179,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a39.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a39,Kobe4,Bryant,,,,-2.256410256,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a40.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a40,Dwayne4,Wade,,,,-2.333333333,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a41.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a41,Manu4,Ginobili,,,,-2.41025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a42.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a42,Stephen4,Curry,,,,-2.487179487,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a43.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a43,Kevin4,Durant,,,,-2.564102564,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a44.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a44,Klay4,Thompson,,,,-2.641025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a45.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a45,Tony4,Parker,,,,-2.717948718,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a46.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a46,Tim4,Duncan,,,,-2.794871795,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a47.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a47,Lebron4,James,,,,-2.871794872,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a48.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a48,Dwight4,Howard,,,,-2.948717949,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a49.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a49,Harsha5,Pitawela,,,,-3.025641026,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a50.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a50,Michael5,Jordan,,,,-3.102564103,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a51.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a51,Kobe5,Bryant,,,,-3.179487179,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a52.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a52,Dwayne5,Wade,,,,-3.256410256,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a53.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a53,Manu5,Ginobili,,,,-3.333333333,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a54.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a54,Stephen5,Curry,,,,-3.41025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a55.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a55,Kevin5,Durant,,,,-3.487179487,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a56.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a56,Klay5,Thompson,,,,-3.564102564,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a57.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a57,Tony5,Parker,,,,-3.641025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a58.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a58,Tim5,Duncan,,,,-3.717948718,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a59.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a59,Lebron5,James,,,,-3.794871795,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a60.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a60,Dwight5,Howard,,,,-3.871794872,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a61.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a61,Harsha6,Pitawela,,,,-3.948717949,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a62.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a62,Michael6,Jordan,,,,-4.025641026,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a63.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a63,Kobe6,Bryant,,,,-4.102564103,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a64.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a64,Dwayne6,Wade,,,,-4.179487179,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a65.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a65,Manu6,Ginobili,,,,-4.256410256,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a66.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a66,Stephen6,Curry,,,,-4.333333333,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a67.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a67,Kevin6,Durant,,,,-4.41025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a68.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a68,Klay6,Thompson,,,,-4.487179487,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a69.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a69,Tony6,Parker,,,,-4.564102564,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a70.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a70,Tim6,Duncan,,,,-4.641025641,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a71.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a71,Lebron6,James,,,,-4.717948718,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a72.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a72,Dwight6,Howard,,,,-4.794871795,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a73.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a73,Harsha7,Pitawela,,,,-4.871794872,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a74.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a74,Michael7,Jordan,,,,-4.948717949,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a75.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a75,Kobe7,Bryant,,,,-5.025641026,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a76.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,a76,Dwayne7,Wade,,,,-5.102564103,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
